announced_date	battery	camera	current_status	dimensions	display_inches	image	is_Touch	memory	os	phone_model	processor	ram	resolution	url	weight
29-Aug-05						http://i-cdn.phonearena.com/images/phones/4791-specs/LG-AX5000--UX5000.jpg				LG AX5000 / UX5000				http://www.phonearena.com/phones/LG-AX5000--UX5000_id973	95 g
1-Sep-05						http://i-cdn.phonearena.com/images/phones/4820-specs/LG-C1500.jpg				LG C1500				http://www.phonearena.com/phones/LG-C1500_id1318	
24-Oct-05						http://i-cdn.phonearena.com/images/phones/5018-specs/LG-CE500.jpg				LG CE500				http://www.phonearena.com/phones/LG-CE500_id1250	
11-Nov-05						http://i-cdn.phonearena.com/images/phones/5091-specs/LG-AX4270.jpg				LG AX4270				http://www.phonearena.com/phones/LG-AX4270_id1386	
19-Dec-05				 3.82 x 1.97 x 0.67 inches		http://i-cdn.phonearena.com/images/phones/5297-specs/LG-P7200.jpg				LG P7200				http://www.phonearena.com/phones/LG-P7200_id1337	105 g
3-Dec-05						http://i-cdn.phonearena.com/images/phones/5165-specs/LG-Migo.jpg				LG Migo				http://www.phonearena.com/phones/LG-Migo_id1273	
4-Jan-06						http://i-cdn.phonearena.com/images/phones/5385-specs/LG-F9200.jpg				LG F9200				http://www.phonearena.com/phones/LG-F9200_id1410	
4-Jan-06						http://i-cdn.phonearena.com/images/phones/5522-specs/LG-CU320.jpg				LG CU320				http://www.phonearena.com/phones/LG-CU320_id1343	120 g
31-Jan-06						http://i-cdn.phonearena.com/images/phones/8330-specs/LG-C2500.jpg				LG C2500				http://www.phonearena.com/phones/LG-C2500_id2124	80 g
7-Feb-06						http://i-cdn.phonearena.com/images/phones/8325-specs/LG-M6100.jpg				LG M6100				http://www.phonearena.com/phones/LG-M6100_id1468	
7-Feb-06						http://i-cdn.phonearena.com/images/phones/5581-specs/LG-S5200.jpg				LG S5200				http://www.phonearena.com/phones/LG-S5200_id1426	
8-Feb-06						http://i-cdn.phonearena.com/images/phones/5584-specs/LG-S5000.jpg				LG S5000				http://www.phonearena.com/phones/LG-S5000_id1406	
24-Mar-06						http://i-cdn.phonearena.com/images/phones/8318-specs/LG-U8550.jpg				LG U8550				http://www.phonearena.com/phones/LG-U8550_id2118	
24-Mar-06						http://i-cdn.phonearena.com/images/phones/8314-specs/LG-U890.jpg				LG U890				http://www.phonearena.com/phones/LG-U890_id2117	
24-Mar-06						http://i-cdn.phonearena.com/images/phones/5748-specs/LG-CG300.jpg				LG CG300				http://www.phonearena.com/phones/LG-CG300_id1400	
5-Apr-06						http://i-cdn.phonearena.com/images/phones/5774-specs/LG-CG225.jpg				LG CG225				http://www.phonearena.com/phones/LG-CG225_id1431	
31-Mar-06						http://i-cdn.phonearena.com/images/phones/8138-specs/LG-V9000.jpg				LG V9000				http://www.phonearena.com/phones/LG-V9000_id2055	
5-Apr-06						http://i-cdn.phonearena.com/images/phones/5836-specs/LG-VX-3400.jpg				LG VX-3400				http://www.phonearena.com/phones/LG-VX-3400_id1418	
5-Apr-06						http://i-cdn.phonearena.com/images/phones/5833-specs/LG-LX350.jpg				LG LX350				http://www.phonearena.com/phones/LG-LX350_id1443	
