Samsung Galaxy Note II,16GB - Gray - AT&T,122,0
Motorola Droid Razr Maxx HD,Black - Verizon,98,0
Motorola Droid Razr HD,Black - Verizon,73,0
Motorola Droid Razr HD,White - Verizon,131,50
Apple iPhone 5,64GB - White & Silver - Verizon,300,0
Apple iPhone 5,16GB - White & Silver - Sprint,179,0
Apple iPhone 5,64GB - Black & Slate - Sprint,225,0
Apple iPhone 5,64GB - White & Silver - Sprint,225,0
Apple iPhone 5,16GB - Black & Slate - Sprint,179,0
Apple iPhone 5,32GB - White & Silver - Sprint,224,0
Apple iPhone 5,32GB - Black & Slate - Sprint,174,0
Apple iPhone 5,32GB - Black & Slate - Verizon,223,0
Apple iPhone 5,32GB - White & Silver - Verizon,250,0
Apple iPhone 5,32GB - White & Silver - AT&T,176,50
Apple iPhone 5,16GB - White & Silver - Verizon,189,0
Apple iPhone 5,64GB - Black & Slate - Verizon,229,0
Apple iPhone 5,64GB - White & Silver - AT&T,278,0
Apple iPhone 5,16GB - Black & Slate - Verizon,150,75
Apple iPhone 5,16GB - White & Silver - AT&T,154,0
Apple iPhone 5,32GB - Black & Slate - AT&T,156,0
Apple iPhone 5,64GB - Black & Slate - AT&T,175,25
Apple iPhone 5,16GB - Black & Slate - AT&T,139,0
Samsung Galaxy S III,16GB - Brown - Verizon,95,0
Samsung Galaxy S III,16GB - Black - Verizon,92,50
Samsung Galaxy S III,16GB - Red - AT&T,109,75
Samsung Galaxy S III,32GB - White - Verizon,123,0
Samsung Galaxy S III,16GB - White - Verizon,81,0
Samsung Galaxy S III,16GB - Blue - Verizon,74,0
Apple iPhone 5C,8GB - White - Verizon,169,0
Apple iPhone 5C,32GB - Yellow - AT&T,225,0
Apple iPhone 5C,8GB - White - AT&T,145,50
Apple iPhone 5S,32GB - Silver - Sprint,349,0
Apple iPhone 5S,64GB - Gold - AT&T,379,0
Apple iPhone 5S,64GB - Gold - Verizon,298,0
Apple iPhone 5C,8GB - Green - Verizon,175,0
Apple iPhone 5S,64GB - Space Gray - T-Mobile,348,0
Apple iPhone 5C,16GB - White - T-Mobile,181,0
Apple iPhone 5S,16GB - Space Gray - Sprint,298,0
Apple iPhone 5S,16GB - Silver - Sprint,298,0
Apple iPhone 5C,16GB - Blue - T-Mobile,229,0
